, allowedP, trueP, n, [sentinel], time
28,4,4,861,10.009,0.0399557
28,4,4,1024,15.0743,0.0582392
28,4,4,1217,30.1267,0.0796963
28,4,4,1448,32.4621,0.108492
28,4,4,1722,26.774,0.153852
28,4,4,2048,50.2559,0.223436
28,4,4,2435,37.1636,0.3668
28,4,4,2896,19.2577,0.421177
28,4,4,3444,28.0925,0.58327
28,4,4,4096,41.5433,0.865354
28,4,4,4870,100.905,1.1914
29,4,4,16,5.08428,6.54E-05
29,4,4,19,4.44305,5.26E-05
29,4,4,22,3.74936,6.76E-05
29,4,4,26,6.00059,9.19E-05
29,4,4,32,5.12512,0.00139672
29,4,4,38,12.0709,0.000287383
29,4,4,45,6.4673,0.000359657
29,4,4,53,10.349,0.000468709
29,4,4,64,8.48267,0.000524304
29,4,4,76,0.770689,0.000653028
29,4,4,90,8.68704,0.000856163
29,4,4,107,6.6972,0.00112943
29,4,4,128,6.99139,0.00144504
29,4,4,152,15.2411,0.00190306
29,4,4,181,4.25256,0.00252658
29,4,4,215,6.5401,0.00395323
29,4,4,256,7.77228,0.00515665
29,4,4,304,7.41879,0.00619542
29,4,4,362,17.4657,0.00899527
29,4,4,430,18.7009,0.0119315
29,4,4,512,6.38456,0.017465
29,4,4,608,21.7851,0.0226238
29,4,4,724,8.56682,0.030023
29,4,4,861,10.009,0.0399993
29,4,4,1024,15.0743,0.0583205
29,4,4,1217,30.1267,0.079781
29,4,4,1448,32.4621,0.108766
29,4,4,1722,26.774,0.150376
29,4,4,2048,50.2559,0.224334
29,4,4,2435,37.1636,0.366425
29,4,4,2896,19.2577,0.4216
29,4,4,3444,28.0925,0.586109
29,4,4,4096,41.5433,0.863237
29,4,4,4870,100.905,1.42383
3,4,4,16,5.08428,0.00153656
3,4,4,19,4.44305,0.000139415
3,4,4,22,3.74936,0.000140271
3,4,4,26,6.00059,0.000165502
3,4,4,32,5.12512,0.000232216
3,4,4,38,12.0709,0.000278403
3,4,4,45,6.4673,0.000348538
3,4,4,53,10.349,0.000467426
3,4,4,64,8.48267,0.000656021
3,4,4,76,0.770689,0.000860867
3,4,4,90,8.68704,0.00104219
3,4,4,107,6.6972,0.00140313
3,4,4,128,6.99139,0.00201682
3,4,4,152,15.2411,0.00276692
3,4,4,181,4.25256,0.00337419
3,4,4,215,6.5401,0.00478032
3,4,4,256,7.77228,0.00718245
3,4,4,304,7.41879,0.00899485
3,4,4,362,17.4657,0.0116514
3,4,4,430,18.7009,0.0184413
3,4,4,512,6.38456,0.0265261
3,4,4,608,21.7851,0.0329311
3,4,4,724,8.56682,0.0428509
3,4,4,861,10.009,0.0630905
3,4,4,1024,15.0743,0.0962987
3,4,4,1217,30.1267,0.124543
3,4,4,1448,32.4621,0.165452
3,4,4,1722,26.774,0.242382
3,4,4,2048,50.2559,0.413258
3,4,4,2435,37.1636,0.48895
3,4,4,2896,19.2577,0.643242
3,4,4,3444,28.0925,0.954289
3,4,4,4096,41.5433,1.47932
30,4,4,16,5.08428,5.35E-05
30,4,4,19,4.44305,5.47E-05
30,4,4,22,3.74936,6.93E-05
30,4,4,26,6.00059,9.24E-05
30,4,4,32,5.12512,0.00202965
30,4,4,38,12.0709,0.000269422
30,4,4,45,6.4673,0.000351959
30,4,4,53,10.349,0.000464005
30,4,4,64,8.48267,0.000555095
30,4,4,76,0.770689,0.000718886
30,4,4,90,8.68704,0.0011273
30,4,4,107,6.6972,0.00133642
30,4,4,128,6.99139,0.00188082
30,4,4,152,15.2411,0.00300085
30,4,4,181,4.25256,0.00477219
30,4,4,215,6.5401,0.00496677
30,4,4,256,7.77228,0.0046858
30,4,4,304,7.41879,0.00622707
30,4,4,362,17.4657,0.008323
30,4,4,430,18.7009,0.0112644
30,4,4,512,6.38456,0.0181372
30,4,4,608,21.7851,0.0223453
30,4,4,724,8.56682,0.0296035
30,4,4,861,10.009,0.0408457
30,4,4,1024,15.0743,0.0596479
30,4,4,1217,30.1267,0.0787444
30,4,4,1448,32.4621,0.109563
30,4,4,1722,26.774,0.151933
30,4,4,2048,50.2559,0.223064
30,4,4,2435,37.1636,0.37005
30,4,4,2896,19.2577,0.424048
30,4,4,3444,28.0925,0.58592
30,4,4,4096,41.5433,0.885064
30,4,4,4870,100.905,1.24901
31,4,4,16,5.08428,5.05E-05
31,4,4,19,4.44305,5.35E-05
31,4,4,22,3.74936,6.80E-05
31,4,4,26,6.00059,9.24E-05
31,4,4,32,5.12512,0.00251204
31,4,4,38,12.0709,0.000267284
31,4,4,45,6.4673,0.000357519
31,4,4,53,10.349,0.000465288
31,4,4,64,8.48267,0.000611545
31,4,4,76,0.770689,0.00065987
31,4,4,90,8.68704,0.000862578
31,4,4,107,6.6972,0.00113286
31,4,4,128,6.99139,0.00144975
31,4,4,152,15.2411,0.00188168
31,4,4,181,4.25256,0.0025099
31,4,4,215,6.5401,0.00337633
31,4,4,256,7.77228,0.00473627
31,4,4,304,7.41879,0.0062198
31,4,4,362,17.4657,0.00862578
31,4,4,430,18.7009,0.0123126
31,4,4,512,6.38456,0.016903
31,4,4,608,21.7851,0.0232481
31,4,4,724,8.56682,0.0579488
31,4,4,861,10.009,0.105481
31,4,4,1024,15.0743,0.0882622
31,4,4,1217,30.1267,0.0825017
31,4,4,1448,32.4621,0.109644
31,4,4,1722,26.774,0.156681
31,4,4,2048,50.2559,0.220369
31,4,4,2435,37.1636,0.365802
31,4,4,2896,19.2577,0.42064
31,4,4,3444,28.0925,0.582622
31,4,4,4096,41.5433,0.924445
31,4,4,4870,100.905,2.5001
32,4,4,16,5.08428,0.000126158
32,4,4,19,4.44305,0.000149251
32,4,4,22,3.74936,0.000190306
32,4,4,26,6.00059,0.000253599
32,4,4,32,5.12512,0.000366499
32,4,4,38,12.0709,0.00399343
32,4,4,45,6.4673,0.000451175
32,4,4,53,10.349,0.00105288
32,4,4,64,8.48267,0.00173328
32,4,4,76,0.770689,0.00181368
32,4,4,90,8.68704,0.00367569
32,4,4,107,6.6972,0.00415166
32,4,4,128,6.99139,0.00614154
32,4,4,152,15.2411,0.00346314
32,4,4,181,4.25256,0.00676805
32,4,4,215,6.5401,0.0236702
32,4,4,256,7.77228,0.0540033
32,4,4,304,7.41879,0.086567
32,4,4,362,17.4657,0.219122
32,4,4,430,18.7009,0.0477202
32,4,4,512,6.38456,0.0745816
32,4,4,608,21.7851,0.15364
32,4,4,724,8.56682,0.160479
32,4,4,861,10.009,0.355255
32,4,4,1024,15.0743,0.168174
32,4,4,1217,30.1267,0.1116
32,4,4,1448,32.4621,0.114246
32,4,4,1722,26.774,0.151347
32,4,4,2048,50.2559,0.217778
32,4,4,2435,37.1636,0.306914
32,4,4,2896,19.2577,0.427138
32,4,4,3444,28.0925,0.610287
32,4,4,4096,41.5433,0.905956
32,4,4,4870,100.905,1.42128
33,4,4,16,5.08428,5.05E-05
33,4,4,19,4.44305,5.30E-05
33,4,4,22,3.74936,6.84E-05
33,4,4,26,6.00059,9.19E-05
33,4,4,32,5.12512,0.000138132
33,4,4,38,12.0709,0.00237904
33,4,4,45,6.4673,0.000354098
33,4,4,53,10.349,0.000456307
33,4,4,64,8.48267,0.000620526
33,4,4,76,0.770689,0.00067997
33,4,4,90,8.68704,0.00124319
33,4,4,107,6.6972,0.00115467
33,4,4,128,6.99139,0.00143606
33,4,4,152,15.2411,0.00190306
33,4,4,181,4.25256,0.00254198
33,4,4,215,6.5401,0.00347554
33,4,4,256,7.77228,0.00475979
33,4,4,304,7.41879,0.00779656
33,4,4,362,17.4657,0.00856377
33,4,4,430,18.7009,0.0115804
33,4,4,512,6.38456,0.0164005
33,4,4,608,21.7851,0.0215884
33,4,4,724,8.56682,0.0304887
33,4,4,861,10.009,0.044964
33,4,4,1024,15.0743,0.0555176
33,4,4,1217,30.1267,0.0795552
33,4,4,1448,32.4621,0.108648
33,4,4,1722,26.774,0.152182
33,4,4,2048,50.2559,0.209472
33,4,4,2435,37.1636,0.457864
33,4,4,2896,19.2577,0.420006
33,4,4,3444,28.0925,0.580077
33,4,4,4096,41.5433,0.810391
33,4,4,4870,100.905,1.20694
34,4,4,16,5.08428,5.05E-05
34,4,4,19,4.44305,5.30E-05
34,4,4,22,3.74936,6.89E-05
34,4,4,26,6.00059,9.19E-05
34,4,4,32,5.12512,0.000138132
34,4,4,38,12.0709,0.00349906
34,4,4,45,6.4673,0.000363078
34,4,4,53,10.349,0.000469992
34,4,4,64,8.48267,0.000744118
34,4,4,76,0.770689,0.000775764
34,4,4,90,8.68704,0.00102551
34,4,4,107,6.6972,0.00134797
34,4,4,128,6.99139,0.00197833
34,4,4,152,15.2411,0.00260527
34,4,4,181,4.25256,0.00358887
34,4,4,215,6.5401,0.00468409
34,4,4,256,7.77228,0.00657261
34,4,4,304,7.41879,0.010611
34,4,4,362,17.4657,0.0124456
34,4,4,430,18.7009,0.0170899
34,4,4,512,6.38456,0.0217851
34,4,4,608,21.7851,0.0217471
34,4,4,724,8.56682,0.0292674
34,4,4,861,10.009,0.040956
34,4,4,1024,15.0743,0.055258
34,4,4,1217,30.1267,0.0942267
34,4,4,1448,32.4621,0.12949
34,4,4,1722,26.774,0.155624
34,4,4,2048,50.2559,0.210443
34,4,4,2435,37.1636,0.412063
34,4,4,2896,19.2577,0.420837
34,4,4,3444,28.0925,0.58109
34,4,4,4096,41.5433,0.807817
34,4,4,4870,100.905,1.18965
35,4,4,16,5.08428,5.05E-05
35,4,4,19,4.44305,5.35E-05
35,4,4,22,3.74936,6.84E-05
35,4,4,26,6.00059,9.24E-05
35,4,4,32,5.12512,0.000137705
35,4,4,38,12.0709,0.00146856
35,4,4,45,6.4673,0.000363078
35,4,4,53,10.349,0.000470847
35,4,4,64,8.48267,0.000623947
35,4,4,76,0.770689,0.00067441
35,4,4,90,8.68704,0.000841623
35,4,4,107,6.6972,0.00113286
35,4,4,128,6.99139,0.00147754
35,4,4,152,15.2411,0.00186243
35,4,4,181,4.25256,0.00325188
35,4,4,215,6.5401,0.00346015
35,4,4,256,7.77228,0.00450277
35,4,4,304,7.41879,0.00620697
35,4,4,362,17.4657,0.00857318
35,4,4,430,18.7009,0.0121253
35,4,4,512,6.38456,0.0162782
35,4,4,608,21.7851,0.02165
35,4,4,724,8.56682,0.0294427
35,4,4,861,10.009,0.0410719
35,4,4,1024,15.0743,0.0548458
35,4,4,1217,30.1267,0.0799559
35,4,4,1448,32.4621,0.110741
35,4,4,1722,26.774,0.151467
35,4,4,2048,50.2559,0.208267
35,4,4,2435,37.1636,0.405122
35,4,4,2896,19.2577,0.431271
35,4,4,3444,28.0925,0.585082
35,4,4,4096,41.5433,0.806602
35,4,4,4870,100.905,1.1824
36,4,4,16,5.08428,5.00E-05
36,4,4,19,4.44305,5.22E-05
36,4,4,22,3.74936,6.76E-05
36,4,4,26,6.00059,9.24E-05
36,4,4,32,5.12512,0.000138132
36,4,4,38,12.0709,0.00236621
36,4,4,45,6.4673,0.000354525
36,4,4,53,10.349,0.000449464
36,4,4,64,8.48267,0.000595722
36,4,4,76,0.770689,0.000669706
36,4,4,90,8.68704,0.000840768
36,4,4,107,6.6972,0.0011474
36,4,4,128,6.99139,0.00148481
36,4,4,152,15.2411,0.00192744
36,4,4,181,4.25256,0.00251931
36,4,4,215,6.5401,0.00341952
36,4,4,256,7.77228,0.00454254
36,4,4,304,7.41879,0.00620783
36,4,4,362,17.4657,0.00843205
36,4,4,430,18.7009,0.0113401
36,4,4,512,6.38456,0.017633
36,4,4,608,21.7851,0.021626
36,4,4,724,8.56682,0.0299311
36,4,4,861,10.009,0.0403842
36,4,4,1024,15.0743,0.0582298
36,4,4,1217,30.1267,0.0795975
36,4,4,1448,32.4621,0.10875
36,4,4,1722,26.774,0.150317
36,4,4,2048,50.2559,0.20818
36,4,4,2435,37.1636,0.402216
36,4,4,2896,19.2577,0.433657
36,4,4,3444,28.0925,0.580568
36,4,4,4096,41.5433,0.80817
36,4,4,4870,100.905,1.186
37,4,4,16,5.08428,5.09E-05
37,4,4,19,4.44305,5.39E-05
37,4,4,22,3.74936,6.84E-05
37,4,4,26,6.00059,9.24E-05
37,4,4,32,5.12512,0.000138132
37,4,4,38,12.0709,0.00162893
37,4,4,45,6.4673,0.000362223
37,4,4,53,10.349,0.000431075
37,4,4,64,8.48267,0.000591873
37,4,4,76,0.770689,0.000670561
37,4,4,90,8.68704,0.000885671
37,4,4,107,6.6972,0.00111618
37,4,4,128,6.99139,0.00146685
37,4,4,152,15.2411,0.00191974
37,4,4,181,4.25256,0.00264376
37,4,4,215,6.5401,0.00333955
37,4,4,256,7.77228,0.00452843
37,4,4,304,7.41879,0.00618944
37,4,4,362,17.4657,0.00838287
37,4,4,430,18.7009,0.0131119
37,4,4,512,6.38456,0.0686415
37,4,4,608,21.7851,0.0344133
37,4,4,724,8.56682,0.0299798
37,4,4,861,10.009,0.0419785
37,4,4,1024,15.0743,0.055477
37,4,4,1217,30.1267,0.080032
37,4,4,1448,32.4621,0.110866
37,4,4,1722,26.774,0.153792
37,4,4,2048,50.2559,0.321175
37,4,4,2435,37.1636,0.406088
37,4,4,2896,19.2577,0.536586
37,4,4,3444,28.0925,0.622133
37,4,4,4096,41.5433,0.818006
37,4,4,4870,100.905,1.24917
38,4,4,16,5.08428,5.00E-05
38,4,4,19,4.44305,5.26E-05
38,4,4,22,3.74936,6.76E-05
38,4,4,26,6.00059,9.24E-05
38,4,4,32,5.12512,0.000138132
38,4,4,38,12.0709,0.000192444
38,4,4,45,6.4673,0.00245089
38,4,4,53,10.349,0.000466143
38,4,4,64,8.48267,0.000604703
38,4,4,76,0.770689,0.000828793
38,4,4,90,8.68704,0.000871559
38,4,4,107,6.6972,0.00114526
38,4,4,128,6.99139,0.00151903
38,4,4,152,15.2411,0.00191974
38,4,4,181,4.25256,0.00254753
38,4,4,215,6.5401,0.00333014
38,4,4,256,7.77228,0.00459129
38,4,4,304,7.41879,0.00700497
38,4,4,362,17.4657,0.00972357
38,4,4,430,18.7009,0.0134998
38,4,4,512,6.38456,0.0174119
38,4,4,608,21.7851,0.0228461
38,4,4,724,8.56682,0.0296232
38,4,4,861,10.009,0.0407563
38,4,4,1024,15.0743,0.0551075
38,4,4,1217,30.1267,0.0782547
38,4,4,1448,32.4621,0.112961
38,4,4,1722,26.774,0.151225
38,4,4,2048,50.2559,0.209183
38,4,4,2435,37.1636,0.385407
38,4,4,2896,19.2577,0.491932
38,4,4,3444,28.0925,0.612413
38,4,4,4096,41.5433,0.893563
38,4,4,4870,100.905,1.31702
39,4,4,16,5.08428,5.05E-05
39,4,4,19,4.44305,5.39E-05
39,4,4,22,3.74936,6.80E-05
39,4,4,26,6.00059,9.24E-05
39,4,4,32,5.12512,0.000137705
39,4,4,38,12.0709,0.000196293
39,4,4,45,6.4673,0.0019022
39,4,4,53,10.349,0.000447754
39,4,4,64,8.48267,0.00060513
39,4,4,76,0.770689,0.000842051
39,4,4,90,8.68704,0.000865144
39,4,4,107,6.6972,0.00127569
39,4,4,128,6.99139,0.00351446
39,4,4,152,15.2411,0.00362137
39,4,4,181,4.25256,0.00428638
39,4,4,215,6.5401,0.00500099
39,4,4,256,7.77228,0.00592643
39,4,4,304,7.41879,0.00725087
39,4,4,362,17.4657,0.0110523
39,4,4,430,18.7009,0.011808
39,4,4,512,6.38456,0.0157056
39,4,4,608,21.7851,0.021555
39,4,4,724,8.56682,0.0303938
39,4,4,861,10.009,0.0418524
39,4,4,1024,15.0743,0.0563592
39,4,4,1217,30.1267,0.0776406
39,4,4,1448,32.4621,0.110931
39,4,4,1722,26.774,0.159703
39,4,4,2048,50.2559,0.211577
39,4,4,2435,37.1636,0.406654
39,4,4,2896,19.2577,0.433314
39,4,4,3444,28.0925,0.648039
39,4,4,4096,41.5433,0.933741
39,4,4,4870,100.905,1.15018
4,4,4,16,5.08428,0.0025548
4,4,4,19,4.44305,0.000136422
4,4,4,22,3.74936,0.000133856
4,4,4,26,6.00059,0.000162509
4,4,4,32,5.12512,0.000195866
4,4,4,38,12.0709,0.000282679
4,4,4,45,6.4673,0.000353242
4,4,4,53,10.349,0.00043022
4,4,4,64,8.48267,0.000545259
4,4,4,76,0.770689,0.000782179
4,4,4,90,8.68704,0.00102851
4,4,4,107,6.6972,0.00140912
4,4,4,128,6.99139,0.0018573
4,4,4,152,15.2411,0.00254796
4,4,4,181,4.25256,0.00339172
4,4,4,215,6.5401,0.00433
4,4,4,256,7.77228,0.00571089
4,4,4,304,7.41879,0.00860654
4,4,4,362,17.4657,0.0131469
4,4,4,430,18.7009,0.0157898
4,4,4,512,6.38456,0.0206655
4,4,4,608,21.7851,0.0320266
4,4,4,724,8.56682,0.042936
4,4,4,861,10.009,0.0562181
4,4,4,1024,15.0743,0.0738537
4,4,4,1217,30.1267,0.1185
4,4,4,1448,32.4621,0.165416
4,4,4,1722,26.774,0.21805
4,4,4,2048,50.2559,0.318271
4,4,4,2435,37.1636,0.468832
4,4,4,2896,19.2577,0.644883
4,4,4,3444,28.0925,0.842684
4,4,4,4096,41.5433,1.12251
40,4,4,16,5.08428,5.00E-05
40,4,4,19,4.44305,5.26E-05
40,4,4,22,3.74936,6.76E-05
40,4,4,26,6.00059,9.19E-05
40,4,4,32,5.12512,0.000137705
40,4,4,38,12.0709,0.000192017
40,4,4,45,6.4673,0.00174526
40,4,4,53,10.349,0.000458017
40,4,4,64,8.48267,0.000594867
40,4,4,76,0.770689,0.000816391
40,4,4,90,8.68704,0.0009588
40,4,4,107,6.6972,0.00114911
40,4,4,128,6.99139,0.00148396
40,4,4,152,15.2411,0.00200142
40,4,4,181,4.25256,0.00271603
40,4,4,215,6.5401,0.00379286
40,4,4,256,7.77228,0.00445787
40,4,4,304,7.41879,0.00612101
40,4,4,362,17.4657,0.00876905
40,4,4,430,18.7009,0.0133043
40,4,4,512,6.38456,0.0158672
40,4,4,608,21.7851,0.0216487
40,4,4,724,8.56682,0.0297887
40,4,4,861,10.009,0.041213
40,4,4,1024,15.0743,0.0565436
40,4,4,1217,30.1267,0.077502
40,4,4,1448,32.4621,0.111363
40,4,4,1722,26.774,0.153751
40,4,4,2048,50.2559,0.211672
40,4,4,2435,37.1636,0.398978
40,4,4,2896,19.2577,0.431186
40,4,4,3444,28.0925,0.583818
40,4,4,4096,41.5433,0.807244
40,4,4,4870,100.905,1.19661
41,4,4,16,5.08428,5.13E-05
41,4,4,19,4.44305,5.30E-05
41,4,4,22,3.74936,6.80E-05
41,4,4,26,6.00059,9.19E-05
41,4,4,32,5.12512,0.000138132
41,4,4,38,12.0709,0.000192444
41,4,4,45,6.4673,0.00178246
41,4,4,53,10.349,0.00045759
41,4,4,64,8.48267,0.000631645
41,4,4,76,0.770689,0.00084034
41,4,4,90,8.68704,0.000895935
41,4,4,107,6.6972,0.00111532
41,4,4,128,6.99139,0.00148738
41,4,4,152,15.2411,0.00277163
41,4,4,181,4.25256,0.0025655
41,4,4,215,6.5401,0.00338488
41,4,4,256,7.77228,0.00452757
41,4,4,304,7.41879,0.00628993
41,4,4,362,17.4657,0.00829991
41,4,4,430,18.7009,0.0137388
41,4,4,512,6.38456,0.0166079
41,4,4,608,21.7851,0.0210521
41,4,4,724,8.56682,0.031229
41,4,4,861,10.009,0.0400665
41,4,4,1024,15.0743,0.0550301
41,4,4,1217,30.1267,0.0769221
41,4,4,1448,32.4621,0.108873
41,4,4,1722,26.774,0.151108
41,4,4,2048,50.2559,0.248622
41,4,4,2435,37.1636,0.409104
41,4,4,2896,19.2577,0.474398
41,4,4,3444,28.0925,0.626138
41,4,4,4096,41.5433,1.19525
42,4,4,16,5.08428,5.05E-05
42,4,4,19,4.44305,5.35E-05
42,4,4,22,3.74936,6.89E-05
42,4,4,26,6.00059,9.28E-05
42,4,4,32,5.12512,0.000138988
42,4,4,38,12.0709,0.000193727
42,4,4,45,6.4673,0.00242694
42,4,4,53,10.349,0.00111062
42,4,4,64,8.48267,0.000808694
42,4,4,76,0.770689,0.00100755
42,4,4,90,8.68704,0.00125217
42,4,4,107,6.6972,0.00178161
42,4,4,128,6.99139,0.00217034
42,4,4,152,15.2411,0.00206728
42,4,4,181,4.25256,0.00323306
42,4,4,215,6.5401,0.0724536
42,4,4,256,7.77228,0.0153532
42,4,4,304,7.41879,0.00627112
42,4,4,362,17.4657,0.0119256
42,4,4,430,18.7009,0.0146728
42,4,4,512,6.38456,0.0186765
42,4,4,608,21.7851,0.0278219
42,4,4,724,8.56682,0.0367
42,4,4,861,10.009,0.0516059
42,4,4,1024,15.0743,0.0851592
42,4,4,1217,30.1267,0.0846721
42,4,4,1448,32.4621,0.115089
42,4,4,1722,26.774,0.164625
42,4,4,2048,50.2559,0.22789
42,4,4,2435,37.1636,0.727585
42,4,4,2896,19.2577,0.519571
42,4,4,3444,28.0925,0.686735
42,4,4,4096,41.5433,1.06222
43,4,4,16,5.08428,5.09E-05
43,4,4,19,4.44305,5.26E-05
43,4,4,22,3.74936,6.76E-05
43,4,4,26,6.00059,9.19E-05
43,4,4,32,5.12512,0.000137705
43,4,4,38,12.0709,0.000192444
43,4,4,45,6.4673,0.00188895
43,4,4,53,10.349,0.000472558
43,4,4,64,8.48267,0.000611545
43,4,4,76,0.770689,0.000848038
43,4,4,90,8.68704,0.000892086
43,4,4,107,6.6972,0.00137705
43,4,4,128,6.99139,0.00182309
43,4,4,152,15.2411,0.00236835
43,4,4,181,4.25256,0.00325017
43,4,4,215,6.5401,0.00441809
43,4,4,256,7.77228,0.0051079
43,4,4,304,7.41879,0.00820839
43,4,4,362,17.4657,0.00881053
43,4,4,430,18.7009,0.0128279
43,4,4,512,6.38456,0.0177981
43,4,4,608,21.7851,0.0228645
43,4,4,724,8.56682,0.0318222
43,4,4,861,10.009,0.0420422
43,4,4,1024,15.0743,0.0585022
43,4,4,1217,30.1267,0.0805914
43,4,4,1448,32.4621,0.115684
43,4,4,1722,26.774,0.161073
43,4,4,2048,50.2559,0.223978
43,4,4,2435,37.1636,0.855089
43,4,4,2896,19.2577,1.25316
44,4,4,16,5.08428,6.12E-05
44,4,4,19,4.44305,5.26E-05
44,4,4,22,3.74936,7.57E-05
44,4,4,26,6.00059,9.58E-05
44,4,4,32,5.12512,0.000143692
44,4,4,38,12.0709,0.000200142
44,4,4,45,6.4673,0.00382622
44,4,4,53,10.349,0.00078389
44,4,4,64,8.48267,0.000754809
44,4,4,76,0.770689,0.000898501
44,4,4,90,8.68704,0.000870704
44,4,4,107,6.6972,0.00112131
44,4,4,128,6.99139,0.00192829
44,4,4,152,15.2411,0.0027186
44,4,4,181,4.25256,0.00393998
44,4,4,215,6.5401,0.00482864
44,4,4,256,7.77228,0.0072188
44,4,4,304,7.41879,0.0112751
44,4,4,362,17.4657,0.0143439
44,4,4,430,18.7009,0.0177002
44,4,4,512,6.38456,0.0202186
44,4,4,608,21.7851,0.0213699
44,4,4,724,8.56682,0.0672127
44,4,4,861,10.009,0.308271
44,4,4,1024,15.0743,0.148969
44,4,4,1217,30.1267,0.157179
44,4,4,1448,32.4621,0.149766
44,4,4,1722,26.774,0.24797
44,4,4,2048,50.2559,0.2295
44,4,4,2435,37.1636,0.312311
44,4,4,2896,19.2577,0.437951
44,4,4,3444,28.0925,1.25191
45,4,4,16,5.08428,5.00E-05
45,4,4,19,4.44305,5.26E-05
45,4,4,22,3.74936,6.71E-05
45,4,4,26,6.00059,9.24E-05
45,4,4,32,5.12512,0.000138132
45,4,4,38,12.0709,0.000192444
45,4,4,45,6.4673,0.000265145
45,4,4,53,10.349,0.00198218
45,4,4,64,8.48267,0.000760369
45,4,4,76,0.770689,0.00110292
45,4,4,90,8.68704,0.00125217
45,4,4,107,6.6972,0.00161568
45,4,4,128,6.99139,0.00219643
45,4,4,152,15.2411,0.00789492
45,4,4,181,4.25256,0.00582465
45,4,4,215,6.5401,0.00646442
45,4,4,256,7.77228,0.00571602
45,4,4,304,7.41879,0.00846498
45,4,4,362,17.4657,0.00980867
45,4,4,430,18.7009,0.0140288
45,4,4,512,6.38456,0.025779
45,4,4,608,21.7851,0.0241347
45,4,4,724,8.56682,0.0294923
45,4,4,861,10.009,0.0407935
45,4,4,1024,15.0743,0.0563109
45,4,4,1217,30.1267,0.0774563
45,4,4,1448,32.4621,0.155755
45,4,4,1722,26.774,0.250391
45,4,4,2048,50.2559,0.223428
45,4,4,2435,37.1636,0.393354
45,4,4,2896,19.2577,0.423313
45,4,4,3444,28.0925,0.60355
45,4,4,4096,41.5433,0.860314
45,4,4,4870,100.905,1.23682
46,4,4,16,5.08428,5.26E-05
46,4,4,19,4.44305,5.56E-05
46,4,4,22,3.74936,6.97E-05
46,4,4,26,6.00059,9.24E-05
46,4,4,32,5.12512,0.000137705
46,4,4,38,12.0709,0.000192444
46,4,4,45,6.4673,0.000284818
46,4,4,53,10.349,0.0024727
46,4,4,64,8.48267,0.000615394
46,4,4,76,0.770689,0.000811687
46,4,4,90,8.68704,0.00113713
46,4,4,107,6.6972,0.00112088
46,4,4,128,6.99139,0.00148995
46,4,4,152,15.2411,0.00195267
46,4,4,181,4.25256,0.00370562
46,4,4,215,6.5401,0.00393613
46,4,4,256,7.77228,0.00460455
46,4,4,304,7.41879,0.00612358
46,4,4,362,17.4657,0.0115839
46,4,4,430,18.7009,0.0118794
46,4,4,512,6.38456,0.0198996
46,4,4,608,21.7851,0.0225558
46,4,4,724,8.56682,0.0353349
46,4,4,861,10.009,0.0452663
46,4,4,1024,15.0743,0.0582029
46,4,4,1217,30.1267,0.0895349
46,4,4,1448,32.4621,0.111276
46,4,4,1722,26.774,0.164879
46,4,4,2048,50.2559,0.23449
46,4,4,2435,37.1636,0.426029
46,4,4,2896,19.2577,0.460412
46,4,4,3444,28.0925,0.775066
46,4,4,4096,41.5433,1.26098
47,4,4,16,5.08428,5.09E-05
47,4,4,19,4.44305,5.30E-05
47,4,4,22,3.74936,6.80E-05
47,4,4,26,6.00059,9.24E-05
47,4,4,32,5.12512,0.000163364
47,4,4,38,12.0709,0.000259158
47,4,4,45,6.4673,0.000266856
47,4,4,53,10.349,0.00213913
47,4,4,64,8.48267,0.000644047
47,4,4,76,0.770689,0.000823234
47,4,4,90,8.68704,0.00117562
47,4,4,107,6.6972,0.00119016
47,4,4,128,6.99139,0.00149893
47,4,4,152,15.2411,0.0019625
47,4,4,181,4.25256,0.00343663
47,4,4,215,6.5401,0.00340156
47,4,4,256,7.77228,0.00554667
47,4,4,304,7.41879,0.00681638
47,4,4,362,17.4657,0.00966797
47,4,4,430,18.7009,0.0138834
47,4,4,512,6.38456,0.0177425
47,4,4,608,21.7851,0.0259518
47,4,4,724,8.56682,0.0327326
47,4,4,861,10.009,0.0449379
47,4,4,1024,15.0743,0.0611361
47,4,4,1217,30.1267,0.109508
47,4,4,1448,32.4621,0.116079
47,4,4,1722,26.774,0.156229
47,4,4,2048,50.2559,0.229929
47,4,4,2435,37.1636,0.575717
47,4,4,2896,19.2577,0.615563
47,4,4,3444,28.0925,0.667617
47,4,4,4096,41.5433,0.873852
47,4,4,4870,100.905,1.21562
48,4,4,16,5.08428,5.82E-05
48,4,4,19,4.44305,5.09E-05
48,4,4,22,3.74936,6.54E-05
48,4,4,26,6.00059,8.90E-05
48,4,4,32,5.12512,0.000133428
48,4,4,38,12.0709,0.000186885
48,4,4,45,6.4673,0.000257448
48,4,4,53,10.349,0.00234568
48,4,4,64,8.48267,0.000599999
48,4,4,76,0.770689,0.000857019
48,4,4,90,8.68704,0.00120983
48,4,4,107,6.6972,0.00114098
48,4,4,128,6.99139,0.0015062
48,4,4,152,15.2411,0.00195096
48,4,4,181,4.25256,0.00260356
48,4,4,215,6.5401,0.0033357
48,4,4,256,7.77228,0.00452073
48,4,4,304,7.41879,0.006127
48,4,4,362,17.4657,0.00821737
48,4,4,430,18.7009,0.0112199
