, allowedP, trueP, n, [sentinel], time
13,4,4,19,4.44305,0.00011675
13,4,4,22,3.74936,0.000128296
13,4,4,26,6.00059,0.000146258
13,4,4,32,5.12512,0.00020057
13,4,4,38,12.0709,0.000257875
13,4,4,45,6.4673,0.000307911
13,4,4,53,10.349,0.00038104
13,4,4,64,8.48267,0.00050121
13,4,4,76,0.770689,0.000652172
13,4,4,90,8.68704,0.000838202
13,4,4,107,6.6972,0.00115039
13,4,4,128,6.99139,0.00151646
13,4,4,152,15.2411,0.00198688
13,4,4,181,4.25256,0.00265145
13,4,4,215,6.5401,0.00377747
13,4,4,256,7.77228,0.00495608
13,4,4,304,7.41879,0.00655465
13,4,4,362,17.4657,0.00895764
13,4,4,430,18.7009,0.012331
13,4,4,512,6.38456,0.0185995
13,4,4,608,21.7851,0.0246273
13,4,4,724,8.56682,0.0314309
13,4,4,861,10.009,0.0445556
13,4,4,1024,15.0743,0.0646758
13,4,4,1217,30.1267,0.0885107
13,4,4,1448,32.4621,0.117814
13,4,4,1722,26.774,0.172704
13,4,4,2048,50.2559,0.250689
13,4,4,2435,37.1636,0.379359
13,4,4,2896,19.2577,0.456744
13,4,4,3444,28.0925,0.664132
13,4,4,4096,41.5433,0.960132
13,4,4,4870,100.905,1.30474
14,4,4,16,5.08428,0.00261168
14,4,4,19,4.44305,0.000115039
14,4,4,22,3.74936,0.000130007
14,4,4,26,6.00059,0.000147541
14,4,4,32,5.12512,0.000198004
14,4,4,38,12.0709,0.000241197
14,4,4,45,6.4673,0.000301924
14,4,4,53,10.349,0.00039002
14,4,4,64,8.48267,0.000505487
14,4,4,76,0.770689,0.000683819
14,4,4,90,8.68704,0.000863006
14,4,4,107,6.6972,0.00109052
14,4,4,128,6.99139,0.00152288
14,4,4,152,15.2411,0.00200185
14,4,4,181,4.25256,0.00262836
14,4,4,215,6.5401,0.00348068
14,4,4,256,7.77228,0.00509507
14,4,4,304,7.41879,0.00659186
14,4,4,362,17.4657,0.0104129
14,4,4,430,18.7009,0.0122117
14,4,4,512,6.38456,0.0178738
14,4,4,608,21.7851,0.0233401
14,4,4,724,8.56682,0.0311234
14,4,4,861,10.009,0.0431216
14,4,4,1024,15.0743,0.0635951
14,4,4,1217,30.1267,0.0857994
14,4,4,1448,32.4621,0.116706
14,4,4,1722,26.774,0.162762
14,4,4,2048,50.2559,0.249203
14,4,4,2435,37.1636,0.378613
14,4,4,2896,19.2577,0.456646
14,4,4,3444,28.0925,0.62694
14,4,4,4096,41.5433,0.964193
14,4,4,4870,100.905,1.30569
15,4,4,16,5.08428,0.00177305
15,4,4,19,4.44305,9.58E-05
15,4,4,22,3.74936,0.00011846
15,4,4,26,6.00059,0.000141553
15,4,4,32,5.12512,0.000187312
15,4,4,38,12.0709,0.000246329
15,4,4,45,6.4673,0.000305773
15,4,4,53,10.349,0.000378046
15,4,4,64,8.48267,0.000515323
15,4,4,76,0.770689,0.000653028
15,4,4,90,8.68704,0.000840768
15,4,4,107,6.6972,0.00109052
15,4,4,128,6.99139,0.00151432
15,4,4,152,15.2411,0.002131
15,4,4,181,4.25256,0.00258816
15,4,4,215,6.5401,0.00348196
15,4,4,256,7.77228,0.0049796
15,4,4,304,7.41879,0.00668423
15,4,4,362,17.4657,0.00877375
15,4,4,430,18.7009,0.0134519
15,4,4,512,6.38456,0.0178759
15,4,4,608,21.7851,0.0234042
15,4,4,724,8.56682,0.0329225
15,4,4,861,10.009,0.0422013
15,4,4,1024,15.0743,0.0646429
15,4,4,1217,30.1267,0.0864028
15,4,4,1448,32.4621,0.117119
15,4,4,1722,26.774,0.163112
15,4,4,2048,50.2559,0.255612
15,4,4,2435,37.1636,0.380739
15,4,4,2896,19.2577,0.457461
15,4,4,3444,28.0925,0.625056
15,4,4,4096,41.5433,0.964234
15,4,4,4870,100.905,1.31263
16,4,4,16,5.08428,5.00E-05
16,4,4,19,4.44305,0.00232772
16,4,4,22,3.74936,0.000113756
16,4,4,26,6.00059,0.000162081
16,4,4,32,5.12512,0.000214682
16,4,4,38,12.0709,0.000256592
16,4,4,45,6.4673,0.000301068
16,4,4,53,10.349,0.000397291
16,4,4,64,8.48267,0.000494796
16,4,4,76,0.770689,0.000670134
16,4,4,90,8.68704,0.000868138
16,4,4,107,6.6972,0.00108282
16,4,4,128,6.99139,0.00142195
16,4,4,152,15.2411,0.00208823
16,4,4,181,4.25256,0.00264376
16,4,4,215,6.5401,0.00344475
16,4,4,256,7.77228,0.00466485
16,4,4,304,7.41879,0.00664189
16,4,4,362,17.4657,0.00946783
16,4,4,430,18.7009,0.0134377
16,4,4,512,6.38456,0.016259
16,4,4,608,21.7851,0.0233148
16,4,4,724,8.56682,0.031081
16,4,4,861,10.009,0.0448207
16,4,4,1024,15.0743,0.0573813
16,4,4,1217,30.1267,0.0868253
16,4,4,1448,32.4621,0.117446
16,4,4,1722,26.774,0.163151
16,4,4,2048,50.2559,0.220748
16,4,4,2435,37.1636,0.397195
16,4,4,2896,19.2577,0.454509
16,4,4,3444,28.0925,0.628248
16,4,4,4096,41.5433,0.860753
16,4,4,4870,100.905,1.30529
17,4,4,16,5.08428,5.05E-05
17,4,4,19,4.44305,0.0013052
17,4,4,22,3.74936,0.000115039
17,4,4,26,6.00059,0.00014583
17,4,4,32,5.12512,0.000200142
17,4,4,38,12.0709,0.000248039
17,4,4,45,6.4673,0.000309194
17,4,4,53,10.349,0.000379757
17,4,4,64,8.48267,0.000527725
17,4,4,76,0.770689,0.000658159
17,4,4,90,8.68704,0.000833925
17,4,4,107,6.6972,0.00111147
17,4,4,128,6.99139,0.00143221
17,4,4,152,15.2411,0.00198774
17,4,4,181,4.25256,0.00263221
17,4,4,215,6.5401,0.00363335
17,4,4,256,7.77228,0.00462337
17,4,4,304,7.41879,0.00658202
17,4,4,362,17.4657,0.00885458
17,4,4,430,18.7009,0.01286
17,4,4,512,6.38456,0.0163505
17,4,4,608,21.7851,0.0237224
17,4,4,724,8.56682,0.0318816
17,4,4,861,10.009,0.0424164
17,4,4,1024,15.0743,0.0583649
17,4,4,1217,30.1267,0.0885351
17,4,4,1448,32.4621,0.117016
17,4,4,1722,26.774,0.165205
17,4,4,2048,50.2559,0.221272
17,4,4,2435,37.1636,0.383337
17,4,4,2896,19.2577,0.458159
17,4,4,3444,28.0925,0.624696
17,4,4,4096,41.5433,0.860054
17,4,4,4870,100.905,1.30994
18,4,4,16,5.08428,5.05E-05
