N,16,2,32,4,64,8
16,0.000304918,0.000242908,0.000369494,0.000341696,0.000668852,0.000307912
19,0.000180898,0.000119743,0.000216393,0.000146258,0.000242053,0.000203564
22,0.000276265,0.000140271,0.000276265,0.000155666,0.00023521,0.000201425
26,0.000357092,0.000189879,0.000349394,0.000225374,0.00025531,0.000362224
32,0.000360085,0.000260442,0.000289095,0.000328867,0.000369494,0.000412687
38,0.000657306,0.000498218,0.00030449,0.000419957,0.000332716,0.00047042
45,0.00082067,0.00133899,0.000609836,0.000653457,0.00042851,0.000703492
53,0.000987028,0.000616678,0.00129793,0.000887812,0.000574768,0.000967355
64,0.00171618,0.0010392,0.00117691,0.00121326,0.000800998,0.00125474
76,0.00136892,0.00347555,0.00150492,0.00121924,0.00100371,0.00103279
90,0.00161012,0.00267113,0.00202409,0.00251547,0.00165545,0.00277591
107,0.00243806,0.00439373,0.00228154,0.0054774,0.00213443,0.0108133
128,0.00505616,0.00453357,0.00294783,0.00671247,0.00307227,0.00328696
152,0.00687199,0.00798517,0.00356878,0.00503692,0.00549964,0.0117195
181,0.0103518,0.00732658,0.0114928,0.0201648,0.00833243,0.0178289
215,0.00841026,0.0271159,0.00828196,0.00550435,0.0187189,0.0248463
256,0.0103287,0.0180111,0.0106127,0.00680656,0.0155517,0.0197418
304,0.0168941,0.0201323,0.0274905,0.0312137,0.0258787,0.0197247
362,0.0475924,0.0179957,0.0230703,0.0365594,0.05919,0.0254433
430,0.0246881,0.0223984,0.0300641,0.0321691,0.0312688,0.0407636
512,0.0318552,0.0253967,0.0360252,0.0513391,0.0288278,0.037948
608,0.0420462,0.0474103,0.0565719,0.0639524,0.0426581,0.0605688
724,0.0607219,0.0759143,0.0670755,0.0929863,0.0751437,0.0685287
861,0.0950617,0.113423,0.11092,0.106471,0.0857491,0.0921849
1024,0.125939,0.120339,0.113321,0.164455,0.133369,0.133008
1217,0.16178,0.142093,0.21881,0.188716,0.198881,0.182353
1448,0.263355,0.280598,0.360895,0.466628,0.416603,0.377272
1722,0.448146,0.331842,0.395388,0.438247,0.499575,0.415965
2048,0.566173,0.449949,0.603987,0.60175,0.664944,0.929783
2435,0.84747,0.58118,0.885338,0.772843,0.750089,1.0784
2896,1.26155,1.0294,1.27336,1.06771,1.20456,1.14184
3444,1.67678,1.52762,1.63567,1.57947,1.6318,1.76519
4096,2.39922,1.98544,2.14647,3.20047,2.18941,2.47496
4870,3.00493,2.35286,2.73544,2.91417,2.69582,2.42754
5792,4.10816,3.85896,3.99175,4.27395,4.4296,4.29816
6888,6.05128,5.40664,6.8377,6.86673,6.3092,5.56423
